syn418	#cd3d3d	1.10.1520
syn198	#c03939	1.10.1900
syn294	#ae3434	1.10.287
syn540	#21691f	3.40.50
syn807	#1e611d	3.30.70
syn317	#e54444	1.10.10
syn777	#2e932c	3.40.1440
syn105	#ae3434	1.10.287
syn253	#ae3434	1.10.287
syn644	#45de42	3.90.1030
syn840	#1e611d	3.30.70
syn622	#48e544	3.10.150
syn806	#3abb38	3.30.1390
syn833	#236f21	3.40.5

syn315	#bf3939	1.20.120
syn670	#37b034	3.40.1370
syn298	#41d03e	3.30.1330
syn653	#48e544	3.100.10
syn482	#21691f	3.90.79
syn851	#287f26	3.20.20
syn376	#d33f3f	1.10.150
syn689	#ba3737	1.10.20
syn137	#9544e5	6.20.130
syn621	#df4343	1.10.1200
syn238	#287f26	3.10.290
syn657	#37b035	3.30.1490
syn500	#1e611d	3.30.70
syn525	#2c8d2a	3.40.1550
syn281	#48e544	3.20.170
syn809	#34a631	3.30.190
syn503	#21691f	3.40.50
syn659	#39b636	3.30.1440
syn918	#309b2e	3.30.230
syn549	#184c16	3.90.950
syn909	#309b2e	3.30.230
syn249	#7d7f26	2.30.29
syn853	#288126	3.30.420
syn2	#48e544	3.70.10
syn656	#1a5319	3.90.930
syn338	#4b4c16	2.60.40
syn593	#ae3434	1.10.287
syn27	#1e611d	3.30.70
syn344	#1e621d	3.90.80
syn776	#96992d	2.40.280
syn832	#21691f	3.40.50
syn381	#21691f	3.40.50
syn747	#21691f	3.40.50
syn375	#712121	1.10.472
syn608	#21691f	3.40.50
syn826	#561919	1.20.272
syn44	#21691f	3.40.50
syn132	#21691f	3.40.50
syn1	#21691f	3.40.50
syn545	#21691f	3.40.50
syn39	#21691f	3.40.50
syn394	#309b2e	3.30.230
syn47	#21691f	3.40.50
syn382	#21691f	3.40.50
syn203	#21691f	3.40.50
syn330	#21691f	3.40.50
syn45	#21691f	3.40.50
syn651	#21691f	3.40.50
syn814	#21691f	3.40.50
syn819	#48e544	3.50.50
syn228	#48e544	3.50.50
syn887	#48e544	3.50.50
syn434	#48e544	3.50.50
syn885	#48e544	3.50.50
syn347	#21691f	3.40.50
syn931	#21691f	3.40.50
syn361	#3bbc38	3.40.1280
syn364	#3bbc38	3.40.1280
syn838	#3bbc38	3.40.1280
syn448	#3bbc38	3.40.1280
syn548	#3bbc38	3.40.1280
syn29	#21691f	3.40.50
syn694	#3fcb3c	3.30.1340
syn54	#288126	3.40.30
syn65	#288126	3.40.30
syn800	#30992d	3.40.1400
syn291	#21691f	3.40.50
syn387	#21691f	3.40.50
syn200	#48e544	3.30.110
syn521	#48e544	3.30.110
syn638	#3cc139	3.90.1180
syn537	#40cd3d	3.40.1160
syn798	#21691f	3.40.50
syn400	#21691f	3.40.50
syn443	#21691f	3.40.50
syn413	#21691f	3.40.50
syn216	#21691f	3.40.50
syn259	#96992d	2.60.200
syn140	#21691f	3.40.50
syn270	#21691f	3.40.50
syn726	#21691f	3.40.50
syn202	#21691f	3.40.50
syn43	#21691f	3.40.50
syn686	#21691f	3.40.50
syn433	#287f26	3.20.20
syn409	#33a431	3.40.1390
syn515	#319e2f	3.40.140
syn431	#184c16	3.60.21
syn494	#287f26	3.20.20
syn793	#641e1e	1.10.520
syn352	#e54444	1.10.10
syn544	#e54444	1.10.10
syn328	#e54444	1.10.10
syn730	#e54444	1.10.10
syn128	#e54444	1.10.10
syn620	#e54444	1.10.10
syn149	#772323	1.10.455
syn302	#46df43	3.40.109
syn505	#288126	3.40.30
syn107	#4c1616	1.10.940
syn305	#319c2e	3.90.230
syn650	#319c2e	3.90.230
syn4	#21691f	3.40.50
syn610	#38b235	3.20.190
syn647	#521818	1.10.8
syn408	#21691f	3.40.50
syn524	#21691f	3.40.50
syn142	#21691f	3.40.50
syn874	#21691f	3.40.50
syn215	#288126	3.30.420
syn520	#21691f	3.40.50
syn283	#288126	3.30.420
syn442	#48e544	3.90.1010
syn655	#288126	3.30.420
syn271	#288126	3.30.420
syn646	#288126	3.30.420
syn637	#309b2e	3.30.230
syn527	#41cf3e	3.90.1150
syn654	#309b2e	3.30.230
syn402	#247523	3.40.390
syn665	#46e043	3.30.1140
syn421	#1e611d	3.30.70
syn432	#2b8b29	3.30.300
syn145	#1f641e	3.40.630
syn289	#2b8b29	3.30.300
syn513	#2a8628	3.90.470
syn664	#3ec83c	3.90.1170
syn201	#2c8e2a	3.90.45
syn301	#4b4c16	2.30.30
syn392	#2b8b29	3.30.300
syn640	#1e611d	3.30.70
syn329	#2d912b	3.30.2350
syn290	#2d912b	3.30.2350
syn517	#2d912b	3.30.2350
syn692	#2d912b	3.30.2350
syn810	#e54444	1.10.10
syn666	#2a8628	3.90.470
syn438	#267b25	3.30.428
syn669	#1e611d	3.30.70
syn672	#1e611d	3.30.70
syn350	#3576b2	4.10.520
syn144	#1c5b1b	3.90.870
syn25	#26547f	4.10.640
syn599	#ba3737	1.10.20
syn416	#2f962d	3.30.2310
syn910	#ae3434	1.10.287
syn362	#43d540	3.30.1320
syn667	#1c5c1b	3.30.860
syn789	#bcbf39	2.60.15
syn299	#44da41	3.30.1230
syn526	#4b4c16	2.30.30


syn199	#4498e5	4.10.410
syn422	#e2e544	2.30.170
syn658	#16324c	4.10.830
syn80	#48e544	3.100.10
syn499	#4b4c16	2.40.50

syn671	#7d7f26	2.40.30
syn26	#4b4c16	2.40.50
syn501	#2a8628	3.90.470
syn648	#35ab33	3.30.160
syn234	#4b4c16	2.70.70
syn649	#4b4c16	2.40.50
syn148	#4b4c16	2.40.50
syn662	#4b4c16	2.40.50
syn391	#4b4c16	2.30.30
syn660	#4b4c16	2.30.30
syn661	#c9cc3d	2.40.150
syn873	#237021	3.90.70
syn365	#4b4c16	2.30.30
syn363	#7d7f26	2.40.30
syn668	#4b4c16	2.40.50
syn430	#e54444	1.10.10
syn447	#7d2525	1.10.4010
syn353	#632d99	6.10.250
syn512	#42d33f	3.40.1130
syn536	#3ec53b	3.30.1360
syn424	#9544e5	6.10.140
syn379	#d94141	1.10.1270
syn406	#257824	3.90.580
syn3	#39b636	3.40.1360
syn859	#21691f	3.40.50
syn46	#39b636	3.40.1360
syn452	#20661e	3.30.565
syn6	#21691f	3.40.50
syn822	#c63b3b	1.10.1760
syn604	#8f2b2b	1.20.1440
syn518	#db4141	1.20.1070
syn388	#184c16	3.10.450
syn108	#4b4c16	2.60.40
syn830	#4c1616	1.25.40
syn795	#5f1c1c	1.20.20
syn778	#ae3434	1.10.287
syn817	#38b235	3.10.28
syn872	#21691f	3.40.50
syn645	#e2e544	2.170.120
syn82	#4c1616	1.20.58
syn530	#4c1616	1.20.58
syn359	#3cc039	3.30.1370
syn797	#691f1f	1.20.1740
syn774	#bf3939	1.20.120
syn852	#4c1616	1.20.58
syn439	#4b4c16	2.60.40
syn592	#184c16	3.40.91
syn543	#b0b235	2.30.22
syn511	#ae3434	1.10.287
syn481	#ae3434	1.10.287
syn663	#ae3434	1.10.287
syn538	#7d7f26	2.30.29
syn688	#38b235	3.90.1300
syn602	#c83c3c	1.20.1170
syn141	#1e611d	3.30.70
syn248	#4b4c16	2.40.50
syn529	#184c16	3.30.930
syn61	#184c16	3.30.930
syn282	#184c16	3.30.930
syn528	#184c16	3.30.930
syn615	#4b4c16	2.40.50
syn163	#184c16	3.30.930
syn222	#184c16	3.30.930
syn405	#184c16	3.30.930
syn288	#184c16	3.30.930
syn76	#184c16	3.30.930
syn287	#184c16	3.30.930
syn64	#184c16	3.30.930
syn332	#32a030	3.30.2010
syn164	#31164c	6.10.280
syn908	#d23f3f	1.20.1080
syn791	#35aa33	3.40.1380
syn106	#4b4c16	2.40.50
syn300	#2b8b29	3.30.300
syn775	#4b4c16	2.40.50
syn346	#ba3737	1.10.20
syn314	#c63b3b	1.10.1760
syn116	#ae3434	1.10.287
syn875	#bf3939	1.20.120
syn264	#6b2020	1.10.510
syn906	#3ab937	3.90.1200
syn94	#db4141	1.20.1070
syn539	#237122	3.30.479
syn227	#216c20	3.30.559
syn835	#e2e544	2.40.128
syn169	#2a8728	3.40.190
syn804	#b0b235	2.40.270
syn435	#e2e544	2.60.120
syn541	#717222	2.60.260
syn623	#4b4c16	2.60.40
syn877	#c63b3b	1.10.1760
syn286	#bf3939	1.20.120
syn146	#5e1c1c	1.10.600
syn325	#b53636	1.20.1250
syn308	#21691f	3.40.50
syn475	#43d640	3.90.110
syn79	#288126	3.30.420
syn542	#288126	3.30.420
syn495	#288126	3.30.420
syn230	#288126	3.30.420
syn218	#288126	3.30.420
syn523	#288126	3.30.420
syn378	#21691f	3.40.50
syn97	#21691f	3.40.50
syn380	#21691f	3.40.50
syn697	#287f26	3.90.550
syn114	#287f26	3.90.550
syn115	#287f26	3.90.550
syn40	#21691f	3.40.50
syn613	#21691f	3.40.50
syn837	#21691f	3.40.50
syn535	#21691f	3.40.50
syn12	#21691f	3.40.50
syn126	#21691f	3.40.50
syn260	#21691f	3.40.50
syn519	#21691f	3.40.50
syn634	#21691f	3.40.50
syn60	#bf3939	1.20.120
syn345	#c63b3b	1.10.1760
syn117	#e54444	1.20.1050
syn696	#bf3939	1.20.120
syn601	#db4141	1.20.1070
syn641	#195118	3.30.920
syn143	#a23030	1.20.140
syn827	#bf3939	1.20.120
syn166	#892929	1.10.3720
syn401	#237021	3.90.70
syn5	#ac3333	1.20.1260
syn196	#892929	1.10.3720

syn113	#287f26	3.90.550
syn372	#21691f	3.40.50
syn870	#952c2c	1.10.3430
syn138	#21691f	3.40.50
syn453	#33a331	3.90.199
syn7	#33a331	3.90.199
syn836	#c63b3b	1.10.1760
syn652	#9c2e2e	1.10.3370
syn165	#892929	1.10.3720
syn818	#ae3434	1.10.287
syn820	#ae3434	1.10.287
syn878	#691f1f	1.20.1740
syn685	#ae3434	1.10.287
syn876	#691f1f	1.20.1740
syn411	#1e611d	3.30.70
syn886	#832727	1.10.3860
syn706	#892929	1.10.3720
syn407	#e54444	1.10.10
syn373	#e54444	1.25.10
syn479	#247523	3.40.390
syn239	#bf3939	1.20.120
syn414	#a83232	1.10.3210
syn389	#2e952c	3.90.320
syn611	#d33f3f	1.10.150
syn691	#b53636	1.20.1250
syn787	#44d941	3.40.1110
syn879	#44d941	3.40.1110
syn444	#247523	3.40.390
syn779	#3ec53b	3.30.1360
syn426	#892929	1.10.3720
syn398	#184c16	3.10.450
syn33	#184c16	3.10.450
syn636	#184c16	3.10.450
syn803	#64651e	2.40.40
syn303	#287f26	3.20.20
syn612	#287f26	3.20.20
syn440	#b43636	1.10.238
syn9	#8f2b2b	1.10.3470
syn415	#21691f	3.40.50
syn195	#892929	1.10.3720
syn412	#722222	1.20.1640
syn639	#319e2f	3.40.140
syn34	#64651e	2.40.40
syn399	#237021	3.90.70
syn796	#bf3939	1.20.120
syn326	#bf3939	1.20.120
syn327	#e54444	1.10.10
syn805	#a23030	1.10.3290
syn296	#c63b3b	1.10.1760
syn773	#581a1a	1.10.620
syn881	#b53636	1.20.1250
syn609	#e54444	1.10.10
syn687	#e54444	1.10.10
syn693	#7c2525	1.20.1560
syn478	#bf3939	1.20.120
syn371	#21691f	3.40.50
syn834	#21691f	3.40.50
syn643	#21691f	3.40.50
syn167	#21691f	3.40.50
syn168	#21691f	3.40.50
syn707	#21691f	3.40.50
syn642	#21691f	3.40.50
syn30	#21691f	3.40.50
syn427	#21691f	3.40.50
syn197	#21691f	3.40.50
syn10	#21691f	3.40.50
syn824	#21691f	3.40.50
syn8	#8f2b2b	1.10.3470
syn214	#992d2d	1.20.144
syn250	#bf3939	1.20.120
syn428	#4c1616	1.20.58
syn127	#a83232	1.10.3210
syn437	#4b4c16	2.40.50
syn404	#4b4c16	2.40.50
syn690	#257623	3.30.470
syn304	#db4141	1.20.1070
syn516	#852828	1.20.1540
syn81	#3ec53b	3.30.1360
syn429	#21691f	3.40.50
syn790	#21691f	3.40.50
syn792	#21691f	3.40.50
syn42	#21691f	3.40.50
syn441	#1d5e1c	3.40.640
syn799	#1d5e1c	3.40.640
syn139	#35ab33	3.90.1640
syn445	#21691f	3.40.50
syn254	#288126	3.30.420
syn420	#4c1616	1.25.40
syn616	#21691f	3.40.50
syn617	#21691f	3.40.50
syn419	#1b581a	3.40.718
syn451	#267b25	3.40.309
syn684	#21691f	3.40.50
syn425	#2a8728	3.40.190
syn11	#21691f	3.40.50
syn708	#2a8728	3.40.190
syn154	#1f641e	3.40.630
syn493	#1f641e	3.40.630
syn147	#1b571a	3.30.870
syn240	#21691f	3.40.50
syn733	#3cc23a	3.40.120
syn133	#21691f	3.40.50
syn233	#287f26	3.20.20
syn825	#21691f	3.40.50
syn695	#21691f	3.40.50
syn95	#21691f	3.40.50
syn410	#21691f	3.40.50
syn257	#48e544	3.60.15
syn600	#48e544	3.60.15
syn360	#21691f	3.40.50
syn213	#287f26	3.20.20
syn221	#287f26	3.20.20
syn316	#21691f	3.40.50
syn771	#184c16	3.20.70
syn63	#287f26	3.20.20
syn614	#287f26	3.20.20
syn732	#287f26	3.20.20
syn823	#3ec83c	3.40.1190
syn606	#21691f	3.40.50
syn729	#195218	3.40.720
syn129	#21691f	3.40.50
syn262	#287f26	3.20.20
syn727	#287f26	3.20.20
syn109	#287f26	3.20.20
syn66	#21691f	3.40.50
syn710	#21691f	3.40.50
syn907	#21691f	3.40.50
syn77	#21691f	3.40.50
syn546	#21691f	3.40.50
syn728	#21691f	3.40.50
syn220	#21691f	3.40.50
syn831	#21691f	3.40.50
syn522	#21691f	3.40.50
syn813	#21691f	3.40.50
syn229	#21691f	3.40.50
syn390	#21691f	3.40.50
syn607	#2a8628	3.30.360
syn131	#287f26	3.20.20
syn504	#48e544	3.40.1010
syn821	#21691f	3.40.50
syn263	#21691f	3.40.50
syn366	#21691f	3.40.50
syn403	#21691f	3.40.50
syn247	#21691f	3.40.50
syn377	#e2e544	2.70.210
syn772	#21691f	3.40.50
syn348	#21691f	3.40.50
syn151	#21691f	3.40.50
syn297	#21691f	3.40.50
syn913	#21691f	3.40.50
syn150	#21691f	3.40.50
syn285	#21691f	3.40.50

